======================================================================================================================================================
MySQL SITE_MASTER vs site_url.txt URL 비교 결과
생성일시: 2025-11-12 16:12:54
======================================================================================================================================================

[전체 통계]
- 총 고유 사이트 수: 676개
- DB 레코드: 646개 (95.6% 커버리지)
- 파일 레코드: 365개 (54.0% 커버리지)
- 공통 사이트: 335개
  * URL 동일: 270개 (80.6%)
  * URL 다름: 65개 (19.4%)
- DB에만 있음: 311개
- 파일에만 있음: 30개

======================================================================================================================================================
[상세 비교 결과]
형식: 테이블URL | 파일URL | SITE_CODE | 결과
https://www.cba.ne.kr/home/sub.php?menukey=172 | https://www.cba.ne.kr/home/sub.php?menukey=172 | cba | 일치
https://cbcci.korcham.net/front/board/boardContentsListPage.do?boardId=10413&menuId=3382 | https://cbcci.korcham.net/front/board/boardContentsListPage.do?boardId=10413&menuId=3382 | cbcci | 일치
https://www.cbf.or.kr/twb_bbs/bbs_list.php?bcd=01_05_02_00_00 | http://www.cbf.or.kr/twb_bbs/bbs_list.php?bcd=01_05_02_00_00 | cbf | 일치
https://www.cbsinbo.or.kr/sub.php?code=123 | https://www.cbsinbo.or.kr/sub.php?code=123 | cbsinbo | 일치
https://www.cbtp.or.kr/index.php?control=bbs&board_id=saup_notice&lm_uid=387 | https://www.cbtp.or.kr/index.php?control=bbs&board_id=saup_notice&lm_uid=387 | cbtp | 일치
https://www.cctf.or.kr/coding/sub5/sub1.asp | https://www.cctf.or.kr/coding/sub5/sub1.asp | cctf | 일치
https://www.cepa.or.kr/notice/notice.do?pm=6&ms=32 | https://www.cepa.or.kr/notice/notice.do?pm=6&ms=32 | cepaMarket | 일치
https://www.changwon.go.kr/cwportal/10310/10429/10430.web | https://www.changwon.go.kr/cwportal/10310/10429/10430.web | changwon | 일치
https://changwoncci.korcham.net/front/board/boardContentsListPage.do?boardId=10039&menuId=3880 | https://changwoncci.korcham.net/front/board/boardContentsListPage.do?boardId=10039&menuId=3880 | changwoncc | 일치
https://cheongjucci.korcham.net/front/board/boardContentsListPage.do?boardId=10701&menuId=1561 | https://cheongjucci.korcham.net/front/board/boardContentsListPage.do?boardId=10701&menuId=1561 | cheongjucci | 일치
https://chilgokcci.korcham.net/front/board/boardContentsListPage.do?boardId=10358&menuId=1097 | https://chilgokcci.korcham.net/front/board/boardContentsListPage.do?boardId=10358&menuId=1097 | chilgokcci | 일치
http://chuncheoncci.korcham.net/front/board/boardContentsListPage.do?boardId=10518&menuId=757 | http://chuncheoncci.korcham.net/front/board/boardContentsListPage.do?boardId=10518&menuId=757 | chuncheoncci | 일치
https://chungjucci.korcham.net/front/board/boardContentsListPage.do?boardId=10259&menuId=1051 | https://chungjucci.korcham.net/front/board/boardContentsListPage.do?boardId=10259&menuId=1051 | chungjucci | 일치
https://www.cnfund.kr/info/list.do?menuSeq=notice | https://www.cnfund.kr/info/list.do?menuSeq=notice | cnfund | 일치
http://www.cngec.or.kr/bbs/board.php?bo_table=notice | http://www.cngec.or.kr/bbs/board.php?bo_table=notice | cngec | 일치
https://www.cnsinbo.co.kr/boardCnts/list.do?boardID=134&m=030101&s=cnsinbo | https://www.cnsinbo.co.kr/boardCnts/list.do?boardID=134&m=030101&s=cnsinbo | cnsinbo | 일치
https://www.cnsp.or.kr/project/list.do | https://www.cnsp.or.kr/project/list.do | cnsp | 일치
http://www.cpri.re.kr/bbs/board.php?bo_table=sub1_1_1 | https://www.cpri.re.kr/bbs/board.php?bo_table=sub1_1_1 | cpri | 일치
https://ctp.or.kr/business/data.do | https://ctp.or.kr/business/data.do | ctp | 일치
https://daejeoncci.korcham.net/front/board/boardContentsListPage.do?boardId=10026&menuId=198 | https://daejeoncci.korcham.net/front/board/boardContentsListPage.do?boardId=10026&menuId=198 | daejeoncci | 일치
https://www.djtp.or.kr/pbanc?mid=a20101000000 | https://www.djtp.or.kr/pbanc?mid=a20101000000 | daejeontp | 일치
https://dangjincci.korcham.net/front/board/boardContentsListPage.do?boardId=10802&menuId=2377 | https://dangjincci.korcham.net/front/board/boardContentsListPage.do?boardId=10802&menuId=2377 | dangjincci | 일치
https://www.dcb.or.kr/01_news/?mcode=0401010000 | https://www.dcb.or.kr/01_news/?mcode=0401010000 | dcb | 일치
https://www.dcci.or.kr/content.html?md=0028 | https://www.dcci.or.kr/content.html?md=0028 | dcci | 일치
https://dctf.or.kr/bbs/board.php?bo_table=3_sub1 | https://dctf.or.kr/bbs/board.php?bo_table=3_sub1 | dctf | 일치
https://www.debc.or.kr/bbs/board.php?bo_table=s2_2 | https://www.debc.or.kr/bbs/board.php?bo_table=s2_2 | debc | 일치
https://dgdp.or.kr/notice/public | https://dgdp.or.kr/notice/public | dgdc | 일치
https://www.dip.or.kr/home/notice/businessbbs/boardList.ubs?fboardcd=business | https://www.dip.or.kr/home/notice/businessbbs/boardList.ubs?fboardcd=business | dip | 일치
http://dipa.or.kr/information/businessnotice/ | http://dipa.or.kr/information/businessnotice/ | dipa | 일치
https://www.djbea.or.kr/pms/st/st_0205/list | https://www.djbea.or.kr/pms/st/st_0205/list | djbaAnnc | 일치
https://donghaecci.korcham.net/front/board/boardContentsListPage.do?boardId=10663&menuId=2422 | https://donghaecci.korcham.net/front/board/boardContentsListPage.do?boardId=10663&menuId=2422 | donghaecci | 일치
https://www.egbiz.or.kr/sp/supportPrjAreaList.do | https://www.egbiz.or.kr/sp/supportPrjAreaList.do | egbiz | 일치
http://www.ekta.kr/?act=board&bbs_code=sub4_2 | http://www.ekta.kr/?act=board&bbs_code=sub4_2 | ekta | 일치
https://www.energy.or.kr/front/board/List2.do | https://www.energy.or.kr/front/board/List2.do | energy | 일치
https://eumseongcci.korcham.net/front/board/boardContentsListPage.do?boardId=10585&menuId=871 | https://eumseongcci.korcham.net/front/board/boardContentsListPage.do?boardId=10585&menuId=871 | eumseongcci | 일치
https://www.smes.go.kr/exportcenter/information/notice/list.do | https://www.smes.go.kr/exportcenter/information/notice/list.do | exportcenter | 일치
https://www.fira.or.kr/fira/fira_010101_1.jsp | https://www.fira.or.kr/fira/fira_010101_1.jsp | fira | 일치
https://www.forest.go.kr/kfsweb/cop/bbs/selectBoardList.do?bbsId=BBSMSTR_1032&mn=NKFS_04_01_02 | https://www.forest.go.kr/kfsweb/cop/bbs/selectBoardList.do?bbsId=BBSMSTR_1032&mn=NKFS_04_01_02 | forest | 일치
https://gangneungcci.korcham.net/front/board/boardContentsListPage.do?boardId=10559&menuId=9986 | https://gangneungcci.korcham.net/front/board/boardContentsListPage.do?boardId=10559&menuId=9986 | gangneungcci | 일치
https://www.gari.or.kr/boardList.do?boardId=40&sub=10_01 | https://www.gari.or.kr/boardList.do?boardId=40&sub=10_01 | gari | 일치
https://www.gbfood.or.kr/bbs/board.php?bo_table=public01&sca=%EC%82%AC%EC%97%85%EA%B3%B5%EA%B3%A0 | https://www.gbfood.or.kr/bbs/board.php?bo_table=public01&sca=%EC%82%AC%EC%97%85%EA%B3%B5%EA%B3%A0 | gbfood | 일치
https://gbmakers.or.kr/notice?category= | https://gbmakers.or.kr/notice?category= | gbmakers | 일치
https://www.gbsa.or.kr/board/notice.do | https://www.gbsa.or.kr/board/notice.do | gbsa | 일치
http://www.gbse.or.kr/HOME/gbse/sub.htm?nav_code=gbs1566979318 | http://www.gbse.or.kr/HOME/gbse/sub.htm?nav_code=gbs1566979318 | gbse | 일치
https://gbsinbo.co.kr/page/10054/10007.tc | https://gbsinbo.co.kr/page/10054/10007.tc | gbsinbo | 일치
https://www.gcaf.or.kr/bbs/board.php?bo_table=sub3_7 | https://www.gcaf.or.kr/bbs/board.php?bo_table=sub3_7 | gcaf | 일치
https://www.gcon.or.kr/gcon/business/gconNotice/list.do?menuNo=200061 | https://www.gcon.or.kr/gcon/business/gconNotice/list.do?menuNo=200061 | gcon | 일치
https://gcube.or.kr:1021/home/sub1/sub1.asp | https://gcube.or.kr:1021/home/sub1/sub1.asp | gcube | 일치
https://www.gdc.or.kr/board.do?S=S01&M=0401000000&b_code=0001 | https://www.gdc.or.kr/board.do?S=S01&M=0401000000&b_code=0001 | gdc | 일치
https://gecci.korcham.net/front/board/boardContentsListPage.do?boardId=10756&menuId=1816 | https://gecci.korcham.net/front/board/boardContentsListPage.do?boardId=10756&menuId=1816 | gecci | 일치
http://www.geea.or.kr/bbs/notice | http://www.geea.or.kr/bbs/notice | geea | 일치
http://www.gei.re.kr/bbs/board.php?bo_table=bbs7_01 | http://www.gei.re.kr/bbs/board.php?bo_table=bbs7_01 | gei | 일치
https://www.gepa.kr/?page_id=36 | https://www.gepa.kr/?page_id=36 | gepa | 일치
https://geri.re.kr/html/board_list.asp?board_id=business | https://geri.re.kr/html/board_list.asp?board_id=business | geri | 일치
https://www.gfund.kr/hp/info/M04_L01.do | https://www.gfund.kr/hp/info/M04_L01.do | gfund | 일치
https://www.ggeea.or.kr/notice | https://www.ggeea.or.kr/notice | ggeea | 일치
https://ghcci.korcham.net/front/board/boardContentsListPage.do?boardId=10426&menuId=1584 | https://ghcci.korcham.net/front/board/boardContentsListPage.do?boardId=10426&menuId=1584 | ghcci | 일치
https://gib.re.kr/module/bbs/list.php?mid=/news/notice | https://gib.re.kr/module/bbs/list.php?mid=/news/notice | gib | 일치
https://www.gibamoney.or.kr/00402/00415.web | https://www.gibamoney.or.kr/00402/00415.web | gibamoney | 일치
https://www.gidp.kr/gidp/notice/notification | https://www.gidp.kr/gidp/notice/notification | gidp | 일치
https://gimcheoncci.korcham.net/front/board/boardContentsListPage.do?boardId=10238&menuId=2245 | https://gimcheoncci.korcham.net/front/board/boardContentsListPage.do?boardId=10238&menuId=2245 | gimcheoncci | 일치
https://gimhaecci.korcham.net/front/board/boardContentsListPage.do?boardId=10471&menuId=2330 | https://gimhaecci.korcham.net/front/board/boardContentsListPage.do?boardId=10471&menuId=2330 | gimhaecci | 일치
https://gimpocci.net/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/ | https://gimpocci.net/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/ | gimpocci | 일치
https://www.gipa.or.kr/apply/01.php?cate=1 | https://www.gipa.or.kr/apply/01.php?cate=1 | gipa | 일치
https://www.gitc.or.kr/main/page?x=53 | https://www.gitc.or.kr/main/page?x=53 | gitc | 일치
https://www.gicon.or.kr/board.es?mid=a10204000000&bid=0003 | https://www.gicon.or.kr/board.es?mid=a10204000000&bid=0003 | gitct | 일치
http://www.gjcci.or.kr/user/board/lists/board_cd/3010 | http://www.gjcci.or.kr/user/board/lists/board_cd/3010 | gjcci | 일치
https://www.gjep.or.kr/cms/bbs/cms.php?dk_cms=comm_01 | https://www.gjep.or.kr/cms/bbs/cms.php?dk_cms=comm_01 | gjep | 일치
https://www.gjf.or.kr/main/pst/list.do?pst_id=notice_ap | https://www.gjf.or.kr/main/pst/list.do?pst_id=notice_ap | gjf | 일치
https://gmcci.korcham.net/front/board/boardContentsListPage.do?boardId=10599&menuId=2022 | https://gmcci.korcham.net/front/board/boardContentsListPage.do?boardId=10599&menuId=2022 | gmcci | 일치
https://gmr.or.kr/base/board/list?boardManagementNo=1&menuLevel=2&menuNo=14 | https://gmr.or.kr/base/board/list?boardManagementNo=1&menuLevel=2&menuNo=14 | gmr | 일치
http://www.gnagp.com/bbs/board.php?bo_table=sub4_1 | http://www.gnagp.com/bbs/board.php?bo_table=sub4_1 | gnagp | 일치
http://gnlife5064.kr/bbs/board.php?bo_table=notice | http://gnlife5064.kr/bbs/board.php?bo_table=notice | gnlife | 일치
https://www.gnsinbo.or.kr/bbs/board.php?bo_table=6_2_1 | https://www.gnsinbo.or.kr/bbs/board.php?bo_table=6_2_1 | gnsinbo | 일치
https://gnto.or.kr/sub04/sub01_01.php | https://gnto.or.kr/sub04/sub01_01.php | gnto | 일치
https://www.gnwomenwork.or.kr/bri/board.php?bo_table=notice&menu=10 | https://www.gnwomenwork.or.kr/bri/board.php?bo_table=notice&menu=10 | gnwomenwork | 일치
https://www.gsfez.go.kr/gsfez/news/bulletin | https://www.gsfez.go.kr/gsfez/news/bulletin | gsfez | 일치
https://www.gsff.or.kr/bbs/board.php?bo_table=sub03_01 | https://www.gsff.or.kr/bbs/board.php?bo_table=sub03_01 | gsff | 일치
https://mybiz.gsipa.or.kr/gsipa/bbs_list.do?code=sub03a&keyvalue=sub03 | https://mybiz.gsipa.or.kr/gsipa/bbs_list.do?code=sub03a&keyvalue=sub03 | gsif | 일치
https://www.gtc.co.kr/page/10059/10007.tc | https://www.gtc.co.kr/page/10059/10007.tc | gtc | 일치
https://www.gtextopia.or.kr/corporate/corporate02.html | https://www.gtextopia.or.kr/corporate/corporate02.html | gtextopia | 일치
https://pms.gtp.or.kr/web/business/webBusinessList.do | https://pms.gtp.or.kr/web/business/webBusinessList.do | gtp | 일치
https://www.gtrans.or.kr/web/lay1/bbs/S1T392C310/A/1/list.do | https://www.gtrans.or.kr/web/lay1/bbs/S1T392C310/A/1/list.do | gtrans | 일치
https://gumicci.korcham.net/front/board/boardContentsListPage.do?boardId=10318&menuId=2103 | https://gumicci.korcham.net/front/board/boardContentsListPage.do?boardId=10318&menuId=2103 | gumicci | 일치
https://gunsancci.korcham.net/front/board/boardContentsListPage.do?boardId=10573&menuId=5135 | https://gunsancci.korcham.net/front/board/boardContentsListPage.do?boardId=10573&menuId=5135 | gunsancci | 일치
https://guroartsvalley.or.kr/user/board/mn011801.do | https://guroartsvalley.or.kr/user/board/mn011801.do | guroartsvalley | 일치
https://gwangyangcci.korcham.net/front/board/boardContentsListPage.do?boardId=10836&menuId=2059 | https://gwangyangcci.korcham.net/front/board/boardContentsListPage.do?boardId=10836&menuId=2059 | gwangyangcci | 일치
https://gw.riia.or.kr/board/businessAnnouncement | https://gw.riia.or.kr/board/businessAnnouncement | gwba | 일치
https://www.gwep.or.kr/bbs/board.php?bo_table=gw_sub21 | https://www.gwep.or.kr/bbs/board.php?bo_table=gw_sub21 | gwbaInfo | 일치
http://www.gwcf.or.kr/ko/culture-business/business-top/business.html?no=1 | http://www.gwcf.or.kr/ko/culture-business/business-top/business.html?no=1 | gwcf | 일치
https://job.gwd.go.kr/gwjob/support_policy/enterprises_policy/workforce_support | https://job.gwd.go.kr/gwjob/support_policy/enterprises_policy/workforce_support | gwjob7 | 일치
https://gwse.or.kr/bbs/board.php?bo_table=sub41&sca=%EC%82%AC%EC%97%85%EA%B3%B5%EA%B3%A0 | https://gwse.or.kr/bbs/board.php?bo_table=sub41&sca=%EC%82%AC%EC%97%85%EA%B3%B5%EA%B3%A0 | gwse | 일치
https://www.gwsinbo.or.kr/board/board_list.php?board_name=notice | https://www.gwsinbo.or.kr/board/board_list.php?board_name=notice | gwsinbo | 일치
https://www.gwto.or.kr/www/selectBbsNttList.do?bbsNo=3&key=23 | https://www.gwto.or.kr/www/selectBbsNttList.do?bbsNo=3&key=23 | gwto | 일치
https://www.gwtp.or.kr/gwtp/bbsNew_list.php?code=sub01b&keyvalue=sub01 | https://www.gwtp.or.kr/gwtp/bbsNew_list.php?code=sub01b&keyvalue=sub01 | gwtp | 일치
http://www.gycci.or.kr/front/board/boardContentsListPage.do?boardId=10767&menuId=1980 | http://www.gycci.or.kr/front/board/boardContentsListPage.do?boardId=10767&menuId=1980 | gycci | 일치
https://gyeongjucci.korcham.net/front/board/boardContentsListPage.do?boardId=10292&menuId=1944 | https://gyeongjucci.korcham.net/front/board/boardContentsListPage.do?boardId=10292&menuId=1944 | gyeongjucci | 일치
http://gyeongsancci.korcham.net/front/board/boardContentsListPage.do?boardId=10334&menuId=1905 | https://gyeongsancci.korcham.net/front/board/boardContentsListPage.do?boardId=10334&menuId=1905 | gyeongsancci | 일치
https://www.haccp.or.kr/user/board.do?board=743 | https://www.haccp.or.kr/user/board.do?board=743 | haccp | 일치
https://hamancci.korcham.net/front/board/boardContentsListPage.do?boardId=10521&menuId=10057 | https://hamancci.korcham.net/front/board/boardContentsListPage.do?boardId=10521&menuId=10057 | hamancci | 일치
https://hamkke.org/business | https://hamkke.org/business | hamkke | 일치
https://www.heemangfdn.or.kr/layout/res/home.php?go=pds.list&pds_type=1 | https://www.heemangfdn.or.kr/layout/res/home.php?go=pds.list&pds_type=1 | heemangfdn | 일치
https://www.hsef.or.kr/M000046/S001/fw/bbs/board/00007/list.do | https://www.hsef.or.kr/M000046/S001/fw/bbs/board/00007/list.do | hsef | 일치
https://www.htdream.kr/main/pubAmt/PubAmtList.do?searchCondition= | https://www.htdream.kr/main/pubAmt/PubAmtList.do?searchCondition= | htdream | 일치
https://icheoncci.korcham.net/front/board/boardContentsListPage.do?boardId=10171&menuId=5121 | https://icheoncci.korcham.net/front/board/boardContentsListPage.do?boardId=10171&menuId=5121 | icheoncci | 일치
https://www.icsinbo.or.kr/home/board/brdList.do?menu_cd=000096 | https://www.icsinbo.or.kr/home/board/brdList.do?menu_cd=000096 | icsinbo | 일치
https://ijnto.or.kr/plaza/notice/lists/ | https://ijnto.or.kr/plaza/notice/lists/ | ijnto | 일치
https://iksancci.korcham.net/front/board/boardContentsListPage.do?boardId=10543&menuId=1323 | https://iksancci.korcham.net/front/board/boardContentsListPage.do?boardId=10543&menuId=1323 | iksancci | 일치
http://www.injeart.or.kr/?p=19&page=1 | http://www.injeart.or.kr/?p=19&page=1 | injeart | 일치
https://www.innopolis.or.kr/newBusiness?menuId=MENU01028 | https://www.innopolis.or.kr/newBusiness?menuId=MENU01028 | innopolis | 일치
https://www.iris.go.kr/contents/retrieveBsnsAncmBtinSituListView.do | https://www.iris.go.kr/contents/retrieveBsnsAncmBtinSituListView.do | iris | 일치
https://itp.or.kr/intro.asp?tmid=13 | https://itp.or.kr/intro.asp?tmid=13 | itp | 일치
https://www.jares.go.kr/main/board/19 | https://www.jares.go.kr/main/board/19 | jares | 일치
https://www.jbba.kr/bbs/board.php?bo_table=sub01_09 | https://www.jbba.kr/bbs/board.php?bo_table=sub01_09 | jbba | 일치
http://jbf.kr/index.do?contentId=048698f6c82d9d3ed439ac23a1ecadcd665dc2a00606348bb30cac1d4417ab4d&search_cate=%EC%82%AC%EC%97%85%EA%B3%B5%EA%B3%A0 | https://jbf.kr/index.do?contentId=048698f6c82d9d3ed439ac23a1ecadcd665dc2a00606348bb30cac1d4417ab4d&search_cate=%EC%82%AC%EC%97%85%EA%B3%B5%EA%B3%A0 | jbf | 일치
https://www.jbio.or.kr/boardList.do?boardId=5&sub=02_02 | https://www.jbio.or.kr/boardList.do?boardId=5&sub=02_02 | jbio | 일치
http://www.jbsecoop.or.kr/bbs/board.php?bo_id=notice03 | http://www.jbsecoop.or.kr/bbs/board.php?bo_id=notice03 | jbsecoop | 일치
https://www.jbsos.or.kr/bbs/board.php?bo_table=s_sub04_01 | https://www.jbsos.or.kr/bbs/board.php?bo_table=s_sub04_01 | jbsos | 일치
https://www.jbtp.or.kr/board/list.jbtp?boardId=BBS_0000006&menuCd=DOM_000000102001000000&contentsSid=9&cpath= | https://www.jbtp.or.kr/board/list.jbtp?boardId=BBS_0000006&menuCd=DOM_000000102001000000&contentsSid=9&cpath= | jbtp | 일치
https://jcci.korcham.net/front/board/boardContentsListPage.do?boardId=11190&menuId=4048 | https://jcci.korcham.net/front/board/boardContentsListPage.do?boardId=11190&menuId=4048 | jcci | 일치
https://www.jcon.or.kr/board/list.php?bbsId=BBSMSTR_000000000001&pageId=C000000016 | https://www.jcon.or.kr/board/list.php?bbsId=BBSMSTR_000000000001&pageId=C000000016 | jccia | 일치
https://jcia.or.kr/cf/information/notice/business.do | https://jcia.or.kr/cf/information/notice/business.do | jcia | 일치
https://www.jeipi.or.kr/rainboard/rain.php?rBoard=notice | https://www.jeipi.or.kr/rainboard/rain.php?rBoard=notice | jeipi | 일치
https://jejucci.korcham.net/front/board/boardContentsListPage.do?boardId=10088&menuId=379 | https://jejucci.korcham.net/front/board/boardContentsListPage.do?boardId=10088&menuId=379 | jejucci | 일치
https://www.jejutp.or.kr/board/business | https://www.jejutp.or.kr/board/business | jejutp | 일치
https://www.jepa.kr/bbs/?b_id=notice&site=new_jepa&mn=426 | https://www.jepa.kr/bbs/?b_id=notice&site=new_jepa&mn=426 | jepa | 일치
https://www.jexport.or.kr/user/reg_biz | https://www.jexport.or.kr/user/reg_biz | jexport | 일치
https://www.jica.or.kr/2025/inner.php?sMenu=A1000 | https://www.jica.or.kr/2025/inner.php?sMenu=A1000 | jica | 일치
https://www.jif.re.kr/board/list.do?boardUUID=53473d307cb77a53017cb7e09b8e0003&menuUUID=53473d307cb7118c017cb71940970029 | https://www.jif.re.kr/board/list.do?boardUUID=53473d307cb77a53017cb7e09b8e0003&menuUUID=53473d307cb7118c017cb71940970029 | jif | 일치
https://jincci.korcham.net/front/board/boardContentsListPage.do?boardId=10777&menuId=1534 | https://jincci.korcham.net/front/board/boardContentsListPage.do?boardId=10777&menuId=1534 | jincci | 일치
https://jindo.go.kr/atc/board/B0146.cs?m=43 | https://jindo.go.kr/atc/board/B0146.cs?m=43 | jindo | 일치
https://jinjucci.korcham.net/front/board/boardContentsListPage.do?boardId=10382&menuId=1499 | https://jinjucci.korcham.net/front/board/boardContentsListPage.do?boardId=10382&menuId=1499 | jinjucci | 일치
http://www.jiuc.or.kr/main/menu?gc=605XOAS&sca= | http://www.jiuc.or.kr/main/menu?gc=605XOAS&sca= | jiuc | 일치
http://www.jmbic.or.kr/bbs/board.php?code=open_08&bo_table=open_08 | http://www.jmbic.or.kr/bbs/board.php?code=open_08&bo_table=open_08 | jmbic | 일치
http://www.jn-se.kr/bbs/board.php?bo_table=nco4_1 | http://www.jn-se.kr/bbs/board.php?bo_table=nco4_1 | jnse | 일치
http://www.jnsec.kr/bbs/board.php?bo_table=notice | http://www.jnsec.kr/bbs/board.php?bo_table=notice | jnsec | 일치
https://www.jntp.or.kr/base/apiAnnouncement/List?menuLevel=2&menuNo=45 | https://www.jntp.or.kr/base/apiAnnouncement/List?menuLevel=2&menuNo=45 | jntp | 일치
https://jscci.korcham.net/front/board/boardContentsListPage.do?boardId=10673&menuId=1402 | https://jscci.korcham.net/front/board/boardContentsListPage.do?boardId=10673&menuId=1402 | jscci | 일치
https://www.kait.or.kr/user/MainBoardList.do?cateSeq=13&bId=101 | https://www.kait.or.kr/user/MainBoardList.do?cateSeq=13&bId=101 | kait | 일치
https://www.kamco.or.kr/portal/bbs/list.do?ptIdx=380&mId=0701010000 | https://www.kamco.or.kr/portal/bbs/list.do?ptIdx=380&mId=0701010000 | kamco | 일치
https://pms.kca.kr:4433/board/boardList.do?sysType=KCA&bbsTc=BBS0001 | https://pms.kca.kr:4433/board/boardList.do?sysType=KCA&bbsTc=BBS0001 | kca | 일치
https://www.kca-coffee.org/cms/FrCon/index.do?MENU_ID=160&CONTENTS_NO=2 | https://www.kca-coffee.org/cms/FrCon/index.do?MENU_ID=160&CONTENTS_NO=2 | kcacoffee | 일치
https://www.kdata.or.kr/kr/board/notice_01/boardList.do | https://www.kdata.or.kr/kr/board/notice_01/boardList.do | kdata | 일치
https://www.kea.kr/sub_news/notice.php | https://www.kea.kr/sub_news/notice.php | kea | 일치
https://www.kead.or.kr/bbs/deptgongji/bbsPage.do?menuId=MENU0895 | https://www.kead.or.kr/bbs/deptgongji/bbsPage.do?menuId=MENU0895 | kead | 일치
https://www.keci.or.kr/common/bbs/selectPageListBbs.do?bbs_code=A1004 | https://www.keci.or.kr/common/bbs/selectPageListBbs.do?bbs_code=A1004 | keci | 일치
https://www.keco.or.kr/web/lay1/bbs/S1T10C108/A/18/list.do | https://www.keco.or.kr/web/lay1/bbs/S1T10C108/A/18/list.do | keco | 일치
https://www.keiti.re.kr/site/keiti/ex/board/List.do?cbIdx=277&searchExt1=24000100 | https://www.keiti.re.kr/site/keiti/ex/board/List.do?cbIdx=277&searchExt1=24000100 | keiti | 일치
https://www.keti.re.kr/notice/notice.php | https://www.keti.re.kr/notice/notice.php | keti | 일치
https://www.kfme.or.kr/kr/board/notice.php?cate=1 | https://www.kfme.or.kr/kr/board/notice.php?cate=1 | kfme | 일치
https://www.kiat.or.kr/front/board/boardContentsListPage.do?board_id=90&MenuId=b159c9dac684471b87256f1e25404f5e | https://www.kiat.or.kr/front/board/boardContentsListPage.do?board_id=90&MenuId=b159c9dac684471b87256f1e25404f5e | kiat | 일치
https://www.kicox.or.kr/user/bbs/BD_selectBbsList.do?q_bbsCode=1016 | https://www.kicox.or.kr/user/bbs/BD_selectBbsList.do?q_bbsCode=1016 | kicox | 일치
https://www.kict.re.kr/board.es?mid=a10501010000&bid=ntfct | https://www.kict.re.kr/board.es?mid=a10501010000&bid=ntfct | kict | 일치
